"variable","mean","site","pft","model"
"treat_size[None]",0.612079335933242,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.509150693183927,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.301617691434308,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[Burn]",0.0611254635502575,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[None]",0.544774741376246,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[Burn]",0.148405420303429,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[None]",0.722747644719956,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[Burn]",0.338243311732206,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[None]",0.171827102064859,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[Burn]",0.0309936183382265,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[None]",0.565455387949678,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.417620737910576,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.331750804194866,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.196672329311519,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.482450139356121,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.53001471315045,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.341147973421061,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.237433758571291,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
