PlotID,Latitude,Longitude,Site,UnitID,geometry
36,39.060358745543766,-120.1620237587399,UPFUb,MCK 13-3 T,
46,39.059199967948494,-120.16216262764075,UPFUb,MCK 13-3 T,
53,39.05732060510111,-120.16267700256638,UPFUb,MCK 13-3 T,
63,39.05781084335379,-120.16209117469418,UPFUb,MCK 13-3 T,
64,39.058299107417966,-120.16179429299945,UPFUb,MCK 13-3 T,
112,39.17428915353541,-120.15884633559972,UPFUb,TWC 3 C,
113,39.17462971340077,-120.1584043781603,UPFUb,TWC 3 C,
114,39.1752186336598,-120.15817231935236,UPFUb,TWC 3 C,
116,39.17514600483022,-120.15741135055568,UPFUb,TWC 3 C,
117,39.175013759504544,-120.15679167613062,UPFUb,TWC 3 C,
120,39.174217842605984,-120.1570320879867,UPFUb,TWC 3 C,
121,39.17420905383819,-120.15630327975174,UPFUb,TWC 3 C,
100,39.13227328759813,-120.16038641587974,UPFUb,TWC 3 T,
102,39.170929705360685,-120.15666693507484,UPFUb,TWC 3 T,
104,39.17190791591851,-120.15688213008248,UPFUb,TWC 3 T,
105,39.17149751630073,-120.15630841756156,UPFUb,TWC 3 T,
106,39.17199321610371,-120.15779301031884,UPFUb,TWC 3 T,
109,39.1706739979491,-120.15947801025403,UPFUb,TWC 3 T,
111,39.17207292254744,-120.1592133592456,UPFUb,TWC 3 T,
42,39.15527153473237,-120.189291361407,UPFUb,WRD 20-16 C,
43,39.15588250797587,-120.18885047600538,UPFUb,WRD 20-16 C,
44,39.15530460721795,-120.1884222221646,UPFUb,WRD 20-16 C,
54,39.15631005557382,-120.18864831122394,UPFUb,WRD 20-16 C,
38,39.15608676258504,-120.19134169862608,UPFUb,WRD 20-16 T,
40,39.15636594387202,-120.19432751759936,UPFUb,WRD 20-16 T,
41,39.155540054679214,-120.19482318387143,UPFUb,WRD 20-16 T,
58,39.155469878016206,-120.19303246713515,UPFUb,WRD 20-16 T,
25,39.148053599737445,-120.18809777167174,UPFUb,WRD 20-9 C,
26,39.14876936564804,-120.18826595521814,UPFUb,WRD 20-9 C,
27,39.14872673310495,-120.1891122545136,UPFUb,WRD 20-9 C,
28,39.15017096464886,-120.1877357640848,UPFUb,WRD 20-9 C,
29,39.15035842832359,-120.18691838661942,UPFUb,WRD 20-9 C,
