Site,UnitID,TotalDepth,AWC_50cm,ppt_by_waterYr,tmax_by_waterYr,cwd_by_waterYr,pdsi_by_waterYr,rSDI,Treatment,BA_reduction
Teakettle,uc3,118.76993472638094,0.0617492274183541,570.5294,23.081861,742.97253,-1.0419934,0.2948605234452172,Thin,35.54940929896506
Teakettle,un1,152.0,0.076343977305581,570.5294,23.081861,742.97253,-1.0419934,0.4263799392442637,None,0.0
Teakettle,un2,138.77939282193188,0.0736120097450847,570.5294,23.081861,742.97253,-1.0419934,0.3862095594520496,None,0.0
Teakettle,un3,130.83333333333334,0.05,570.5294,23.081861,742.97253,-1.0419934,0.4502233666192195,None,0.0
Teakettle,us1,150.55190961992795,0.0748479695139032,570.5294,23.081861,742.97253,-1.0419934,0.1690325978116341,Thin,62.13073818725504
Teakettle,us2,130.83333333333334,0.0499999999999999,570.5294,23.081861,742.97253,-1.0419934,0.195359531515283,Thin,59.130318534414805
Teakettle,us3,130.83333333333334,0.05,570.5294,23.081861,742.97253,-1.0419934,0.1909079615926735,Thin,64.75532366140554
TharpsCreek,LOLOG,191.8367346938776,0.1055102040816326,508.32254,22.714918,743.24835,-0.91107523,0.484580228104884,None,-2.287297631725405
TharpsCreek,LOTHAR,191.8367346938776,0.1055102040816326,508.32254,22.714918,743.24835,-0.91107523,0.3989147453669283,Burn,22.65634667013409
TharpsCreek,UPLOG,191.50659732456143,0.1048543826348527,508.32254,22.714918,743.24835,-0.91107523,0.4298182534481348,None,-4.061037678676255
TharpsCreek,UPTHAR,191.8367346938776,0.1055102040816326,508.32254,22.714918,743.24835,-0.91107523,0.2869321831985577,Burn,30.02872068885025
WLakeTahoe,MCK 13-3 C,167.89838006188634,0.0981441329207577,571.57776,23.189638,594.39307,-1.1354332,0.7254877562968427,None,-5.836512740140383
WLakeTahoe,MCK 13-3 T,181.55174769557007,0.0889067868296985,571.57776,23.189638,594.39307,-1.1354332,0.2751973442415151,Thin,54.411248402370624
WLakeTahoe,TWC 3 C,193.4252905767764,0.1489142630676893,571.57776,23.189638,594.39307,-1.1354332,0.6923355425093035,None,3.81954142380527
WLakeTahoe,TWC 3 T,193.4933196210773,0.1488292267623131,571.57776,23.189638,594.39307,-1.1354332,0.2826737578298421,Thin,28.374366679389528
WLakeTahoe,WRD 20-16 C,199.37,0.199,571.57776,23.189638,594.39307,-1.1354332,0.6078982802127664,None,0.8389777055332845
WLakeTahoe,WRD 20-16 T,198.27,0.2032,571.57776,23.189638,594.39307,-1.1354332,0.624903101774606,Thin,7.806517847939408
WLakeTahoe,WRD 20-9 C,197.4829690449244,0.2031605406077206,571.57776,23.189638,594.39307,-1.1354332,0.5199109501665735,None,6.186545729488999
WLakeTahoe,WRD 20-9 T,198.27,0.2032,571.57776,23.189638,594.39307,-1.1354332,0.2680405681283906,Thin,39.30399800387247
