0060-00130-11,40.4,43.1,46.482,48.768
0060-00130-12,34.3,39.3,45.212,48.26
0060-00130-13,24.9,27.4,29.972,31.242
0060-00130-15,24.6,27.3,33.02,35.814
0060-00130-17,28.7,31.5,35.052,35.052
0060-00130-18,29.2,34.9,41.91,45.212
0060-00130-2,46.2,48.5,50.8,52.324
0060-00130-3,63.2,68.6,76.2,78.74
0060-00130-5,15.5,17.3,19.558,20.828
0060-00130-7,20.1,21.5,21.59,21.844
0060-00130-8,38.6,41.3,45.466,47.752
0060-00130-9,28.2,28.2,28.448,28.702
0180-00004-13,58.2,58.2,66.802,64.008
0180-00004-20,79.8,81.5,86.614,86.614
0180-00004-25,95.3,97.1,,
0180-00004-3,99.6,107.8,121.666,123.698
0180-00004-38,27.4,30.7,36.322,
0180-00008-10,71.1,74.6,81.026,82.55
0180-00008-15,33.0,33.7,33.274,
0180-00008-2,81.3,82.6,85.344,86.868
0180-00008-36,34.8,36.1,35.306,
0180-00010-13,64.0,69.3,73.406,74.676
0180-00010-15,20.3,21.9,23.114,23.622
0180-00010-7,85.1,89.4,90.678,
0180-00013-5,105.9,109.9,111.76,113.284
0180-00018-11,51.6,56.9,63.246,64.516
0180-00018-28,16.5,17.8,18.542,
0180-00018-38,15.0,17.9,24.13,23.622
0180-00018-7,25.4,25.7,,
0180-00018-8,67.1,72.2,80.01,82.042
0180-00101-1,51.3,49.1,,
0180-00101-13,34.8,39.7,48.768,
0180-00101-17,28.7,28.8,,
0180-00101-18,62.7,66.3,72.136,
0180-00101-23,45.2,48.0,52.324,
0180-00101-28,85.9,90.4,97.028,94.488
0180-00101-31,55.9,60.4,64.516,
0180-00101-38,33.0,35.0,39.37,
0180-00101-40,27.4,25.2,,
0180-00102-10,16.5,18.0,21.082,20.574
0180-00102-12,30.5,33.7,37.084,37.084
0180-00102-14,46.2,48.1,50.8,50.546
0180-00102-15,17.272,21.844,,
0180-00102-16,21.6,21.0,,
0180-00102-2,84.3,89.9,98.552,
0180-00102-22,81.0,82.5,87.376,
0180-00102-8,110.0,110.4,118.364,117.602
0180-00107-12,74.2,76.8,81.026,82.55
0180-00107-17,75.4,78.7,80.01,
