"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS6BURN_1359",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_1360",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_1361",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_1365",6,16,"FFS6BURN",3,"fir"
"FFS6BURN_1366",6,16,"FFS6BURN",3,"fir"
"FFS6BURN_1375",1,6,"FFS6BURN",2,"fir"
"FFS6BURN_4401",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4405",1,12,"FFS6BURN",4,"fir"
"FFS6BURN_4423",1,12,"FFS6BURN",4,"fir"
"FFS6BURN_4424",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_4475",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4476",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4478",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4480",1,12,"FFS6BURN",4,"fir"
"FFS6BURN_4482",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4488",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4489",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4504",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4505",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4525",1,16,"FFS6BURN",4,"yellow_pine"
"FFS6BURN_4528",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4531",1,11,"FFS6BURN",3,"fir"
"FFS6BURN_4535",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4536",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4543",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4546",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4549",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4557",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4559",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4563",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4567",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4569",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4576",1,7,"FFS6BURN",3,"fir"
"FFS6BURN_4577",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4578",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4585",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_4587",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4588",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_4589",1,11,"FFS6BURN",3,"fir"
"FFS6BURN_4590",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4593",1,5,"FFS6BURN",2,"fir"
"FFS6BURN_4594",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4595",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4605",1,16,"FFS6BURN",4,"fir"
